,state,fips,cases,deaths,employed-sugar-intake-daily
440,California,6,3693923,60272,22.9
441,California,6,3696900,60361,22.9
442,California,6,3700795,60446,22.9
443,California,6,3704295,60484,22.9
444,California,6,3706904,60535,22.9
445,California,6,3709392,60710,22.9
446,California,6,3711717,60797,22.9
447,California,6,3714542,60911,22.9
448,California,6,3716759,60977,22.9
449,California,6,3718367,61022,22.9
450,California,6,3720922,61034,22.9
451,California,6,3723405,61111,22.9
452,California,6,3725355,61199,22.9
453,California,6,3727911,61290,22.9
454,California,6,3730175,61390,22.9
455,California,6,3730549,61428,22.9
456,California,6,3731900,61463,22.9
457,California,6,3734630,61485,22.9
458,California,6,3736753,61504,22.9
459,California,6,3738507,61571,22.9
460,California,6,3739891,61650,22.9
461,California,6,3742224,61756,22.9
462,California,6,3743780,61853,22.9
463,California,6,3745139,61924,22.9
464,California,6,3747389,61961,22.9
465,California,6,3749576,62016,22.9
466,California,6,3751248,62065,22.9
467,California,6,3753796,62169,22.9
468,California,6,3755950,62211,22.9
469,California,6,3757249,62270,22.9
470,California,6,3758303,62310,22.9
471,California,6,3760386,62332,22.9
472,California,6,3761977,62363,22.9
473,California,6,3763580,62468,22.9
474,California,6,3765346,62573,22.9
475,California,6,3766941,62626,22.9
476,California,6,3768252,62647,22.9
477,California,6,3769052,62681,22.9
478,California,6,3770344,62701,22.9
479,California,6,3771421,62723,22.9
480,California,6,3773011,62760,22.9
481,California,6,3774570,62811,22.9
482,California,6,3775904,62857,22.9
483,California,6,3776679,62903,22.9
484,California,6,3777406,62928,22.9
485,California,6,3778839,62947,22.9
486,California,6,3780128,62979,22.9
487,California,6,3781388,63014,22.9
488,California,6,3786674,63163,22.9
489,California,6,3788120,63215,22.9
490,California,6,3788894,63236,22.9
491,California,6,3789496,63247,22.9
492,California,6,3789883,63249,22.9
493,California,6,3791188,63260,22.9
494,California,6,3792111,63284,22.9
495,California,6,3793194,63340,22.9
496,California,6,3794373,62965,22.9
497,California,6,3795202,63000,22.9
498,California,6,3795959,63120,22.9
499,California,6,3797141,63132,22.9
500,California,6,3798225,63155,22.9
501,California,6,3799174,63167,22.9
502,California,6,3800222,63206,22.9
503,California,6,3801205,63251,22.9
504,California,6,3801812,63143,22.9
505,California,6,3802390,63145,22.9
506,California,6,3803495,63150,22.9
507,California,6,3804529,63205,22.9
508,California,6,3805390,63224,22.9
509,California,6,3806400,63254,22.9
510,California,6,3807542,63290,22.9
511,California,6,3808088,63309,22.9
512,California,6,3808733,63337,22.9
513,California,6,3810024,63353,22.9
514,California,6,3811099,63370,22.9
515,California,6,3811979,63425,22.9
516,California,6,3812993,63490,22.9
517,California,6,3814393,63543,22.9
518,California,6,3815178,63555,22.9
519,California,6,3816045,63586,22.9
520,California,6,3817655,63597,22.9
521,California,6,3818311,63610,22.9
522,California,6,3816704,63662,22.9
523,California,6,3866606,63709,22.9
524,California,6,3868398,63649,22.9
525,California,6,3868398,63648,22.9
526,California,6,3868398,63648,22.9
527,California,6,3868398,63648,22.9
528,California,6,3874128,63710,22.9
529,California,6,3875460,63748,22.9
530,California,6,3903528,63805,22.9
531,California,6,3905886,63870,22.9
532,California,6,3906315,63874,22.9
533,California,6,3907428,63877,22.9
534,California,6,3914148,63954,22.9
535,California,6,3918797,63972,22.9
536,California,6,3921906,64002,22.9
537,California,6,3925591,64041,22.9
538,California,6,3930518,64083,22.9
539,California,6,3932295,64085,22.9
540,California,6,3933928,64086,22.9
541,California,6,3945211,64127,22.9
542,California,6,3951134,64132,22.9
543,California,6,3957625,64146,22.9
544,California,6,3966545,64174,22.9
545,California,6,3975402,64219,22.9
546,California,6,3977990,64220,22.9
547,California,6,3980074,64225,22.9
548,California,6,3996383,64265,22.9
549,California,6,4004981,64296,22.9
550,California,6,4012673,64325,22.9
551,California,6,4022880,64372,22.9
552,California,6,4034150,64415,22.9
553,California,6,4037490,64417,22.9
554,California,6,4040811,64417,22.9
555,California,6,4066259,64538,22.9
556,California,6,4073891,64533,22.9
557,California,6,4084002,64626,22.9
558,California,6,4096518,64680,22.9
559,California,6,4111393,64719,22.9
560,California,6,4115522,64732,22.9
561,California,6,4134375,64777,22.9
562,California,6,4147364,64787,22.9
563,California,6,4157038,64838,22.9
564,California,6,4168517,64481,22.9
565,California,6,4179874,64533,22.9
566,California,6,4194890,64596,22.9
567,California,6,4208226,64630,22.9
568,California,6,4219616,64661,22.9
569,California,6,4232845,64684,22.9
570,California,6,4243746,64727,22.9
571,California,6,4259451,64816,22.9
572,California,6,4277523,64908,22.9
573,California,6,4303611,65020,22.9
574,California,6,4316350,65082,22.9
575,California,6,4328308,65127,22.9
576,California,6,4341369,65160,22.9
577,California,6,4352491,65228,22.9
578,California,6,4365584,65368,22.9
579,California,6,4381691,65483,22.9
580,California,6,4396238,65605,22.9
581,California,6,4410353,65676,22.9
582,California,6,4422246,65746,22.9
583,California,6,4437703,65793,22.9
584,California,6,4449186,65863,22.9
585,California,6,4471918,65987,22.9
586,California,6,4486276,66153,22.9
587,California,6,4498298,66297,22.9
588,California,6,4508025,66388,22.9
589,California,6,4518576,66481,22.9
590,California,6,4525630,66496,22.9
591,California,6,4536771,66569,22.9
592,California,6,4545832,66722,22.9
593,California,6,4556885,66898,22.9
594,California,6,4566746,67062,22.9
595,California,6,4575900,67149,22.9
596,California,6,4583292,67199,22.9
597,California,6,4599348,67312,22.9
598,California,6,4608094,67422,22.9
599,California,6,4616854,67647,22.9
600,California,6,4629146,67825,22.9
601,California,6,4639199,67948,22.9
602,California,6,4647462,68034,22.9
603,California,6,4654530,68106,22.9
604,California,6,4663226,68158,22.9
605,California,6,4669895,68244,22.9
606,California,6,4677452,68402,22.9
607,California,6,4687178,68532,22.9
608,California,6,4694673,68710,22.9
609,California,6,4696228,68740,22.9
610,California,6,4697407,68756,22.9
611,California,6,4717357,68917,22.9
612,California,6,4722662,68985,22.9
613,California,6,4729805,69133,22.9
614,California,6,4739046,69278,22.9
615,California,6,4747079,69387,22.9
616,California,6,4748442,69405,22.9
617,California,6,4749498,69420,22.9
618,California,6,4764829,69574,22.9
619,California,6,4769383,69652,22.9
620,California,6,4775779,69819,22.9
621,California,6,4782944,69985,22.9
622,California,6,4789773,70132,22.9
623,California,6,4790968,70156,22.9
624,California,6,4792007,70160,22.9
625,California,6,4805395,70295,22.9
626,California,6,4810715,70343,22.9
627,California,6,4815429,70459,22.9
628,California,6,4821901,70607,22.9
629,California,6,4828318,70766,22.9
630,California,6,4829415,70778,22.9
631,California,6,4830310,70784,22.9
632,California,6,4845060,70981,22.9
633,California,6,4849225,71046,22.9
634,California,6,4853378,71192,22.9
635,California,6,4860797,71369,22.9
636,California,6,4867059,71504,22.9
637,California,6,4868220,71519,22.9
638,California,6,4869133,71528,22.9
639,California,6,4872707,71639,22.9
640,California,6,4890036,71800,22.9
641,California,6,4895127,71935,22.9
642,California,6,4908206,72026,22.9
643,California,6,4915206,72140,22.9
644,California,6,4916614,72144,22.9
645,California,6,4917683,72140,22.9
646,California,6,4933895,72289,22.9
647,California,6,4938058,72365,22.9
648,California,6,4943059,72471,22.9
649,California,6,4951490,72560,22.9
650,California,6,4959010,72650,22.9
651,California,6,4960633,72671,22.9
652,California,6,4961782,72698,22.9
653,California,6,4978363,72811,22.9
654,California,6,4982702,72922,22.9
655,California,6,4987439,73075,22.9
656,California,6,4993930,73132,22.9
657,California,6,4996986,73201,22.9
658,California,6,5006025,73279,22.9
659,California,6,5006960,73286,22.9
660,California,6,5014583,73411,22.9
661,California,6,5019484,73487,22.9
662,California,6,5024415,73614,22.9
663,California,6,5031042,73781,22.9
664,California,6,5037132,73901,22.9
665,California,6,5038985,73927,22.9
666,California,6,5040034,73938,22.9
667,California,6,5051418,74042,22.9
668,California,6,5055959,74157,22.9
669,California,6,5060127,74308,22.9
670,California,6,5060129,74314,22.9
671,California,6,5062119,74355,22.9
672,California,6,5062737,74374,22.9
673,California,6,5063311,74385,22.9
674,California,6,5080522,74553,22.9
675,California,6,5085477,74670,22.9
676,California,6,5090300,74781,22.9
677,California,6,5099788,74884,22.9
678,California,6,5107543,74987,22.9
679,California,6,5109833,75006,22.9
680,California,6,5111469,75008,22.9
681,California,6,5128950,75102,22.9
682,California,6,5135147,75169,22.9
683,California,6,5141243,75279,22.9
684,California,6,5148904,75374,22.9
685,California,6,5155484,75445,22.9
686,California,6,5157293,75468,22.9
687,California,6,5158764,75477,22.9
688,California,6,5173616,75571,22.9
689,California,6,5179298,75637,22.9
690,California,6,5184663,75718,22.9
691,California,6,5192915,75792,22.9
692,California,6,5201644,75898,22.9
693,California,6,5205345,75917,22.9
694,California,6,5208847,75927,22.9
695,California,6,5227931,76014,22.9
696,California,6,5238811,76078,22.9
697,California,6,5251204,76151,22.9
698,California,6,5271267,76249,22.9
699,California,6,5291605,76317,22.9
700,California,6,5291605,76319,22.9
701,California,6,5312399,76332,22.9
702,California,6,5329067,76368,22.9
703,California,6,5378451,76453,22.9
704,California,6,5408613,76548,22.9
705,California,6,5457967,76644,22.9
706,California,6,5515613,76709,22.9
707,California,6,5515613,76709,22.9
708,California,6,5560323,76712,22.9
709,California,6,5606685,76745,22.9
710,California,6,5748437,76821,22.9
711,California,6,5807748,76967,22.9
712,California,6,5892644,77042,22.9
713,California,6,6003256,77231,22.9
714,California,6,6037652,77248,22.9
715,California,6,6083283,77260,22.9
716,California,6,6311255,77412,22.9
717,California,6,6447667,77447,22.9
718,California,6,6556829,77595,22.9
719,California,6,6716565,77839,22.9
720,California,6,6832478,77940,22.9
721,California,6,6874405,77966,22.9
722,California,6,6919509,78017,22.9
723,California,6,7140744,78142,22.9
724,California,6,7215028,78224,22.9
725,California,6,7324358,78325,22.9
726,California,6,7487212,78529,22.9
727,California,6,7621774,78700,22.9
728,California,6,7660930,78775,22.9
729,California,6,7688422,78839,22.9
730,California,6,7904252,79001,22.9
731,California,6,7984924,79118,22.9
732,California,6,8055410,79353,22.9
733,California,6,8172855,79643,22.9
734,California,6,8248681,79934,22.9
735,California,6,8270373,80004,22.9
736,California,6,8287535,80038,22.9
737,California,6,8411819,80267,22.9
738,California,6,8447069,80434,22.9
739,California,6,8483510,80727,22.9
740,California,6,8562030,80922,22.9
741,California,6,8604465,81180,22.9
742,California,6,8614417,81267,22.9
743,California,6,8621360,81334,22.9
744,California,6,8658747,81524,22.9
745,California,6,8702299,81806,22.9
746,California,6,8753919,82108,22.9
747,California,6,8767710,82321,22.9
748,California,6,8791266,82578,22.9
749,California,6,8795926,82660,22.9
750,California,6,8800780,82727,22.9
751,California,6,8834778,83028,22.9
752,California,6,8847111,83226,22.9
753,California,6,8861813,83466,22.9
754,California,6,8870565,83686,22.9
755,California,6,8885752,83936,22.9
756,California,6,8888971,84020,22.9
757,California,6,8891601,84089,22.9
758,California,6,8892924,84109,22.9
759,California,6,8921012,84437,22.9
760,California,6,8929279,84580,22.9
761,California,6,8943492,84832,22.9
762,California,6,8956818,85078,22.9
763,California,6,8958993,85142,22.9
764,California,6,8958993,85142,22.9
765,California,6,8975648,85564,22.9
766,California,6,8978975,85682,22.9
767,California,6,8984737,85975,22.9
768,California,6,8995103,86135,22.9
769,California,6,9001579,86345,22.9
770,California,6,9002938,86394,22.9
771,California,6,9003101,86429,22.9
772,California,6,9013699,86731,22.9
773,California,6,9016956,86818,22.9
774,California,6,9021781,87032,22.9
775,California,6,9028579,87197,22.9
776,California,6,9033744,87322,22.9
777,California,6,9035301,87386,22.9
778,California,6,9035301,87386,22.9
779,California,6,9044007,87665,22.9
780,California,6,9045596,87713,22.9
781,California,6,9048717,87869,22.9
782,California,6,9054556,88015,22.9
783,California,6,9061041,88131,22.9
784,California,6,9064239,88156,22.9
785,California,6,9064239,88162,22.9
786,California,6,9073409,88322,22.9
787,California,6,9074703,88367,22.9
788,California,6,9079164,88461,22.9
789,California,6,9084013,88571,22.9
790,California,6,9087644,88689,22.9
791,California,6,9088616,88708,22.9
792,California,6,9088616,88709,22.9
793,California,6,9094047,88814,22.9
794,California,6,9095335,88838,22.9
795,California,6,9098492,88942,22.9
796,California,6,9103954,89018,22.9
797,California,6,9108198,89076,22.9
798,California,6,9108202,89076,22.9
799,California,6,9108202,89078,22.9
800,California,6,9110544,89120,22.9
801,California,6,9117579,89240,22.9
802,California,6,9118671,89273,22.9
803,California,6,9119878,89324,22.9
804,California,6,9132016,89426,22.9
805,California,6,9132019,89429,22.9
806,California,6,9132019,89438,22.9
807,California,6,9134794,89484,22.9
808,California,6,9135719,89514,22.9
809,California,6,9136777,89554,22.9
810,California,6,9151205,89629,22.9
811,California,6,9158440,89744,22.9
812,California,6,9158440,89744,22.9
813,California,6,9158448,89752,22.9
814,California,6,9161719,89785,22.9
815,California,6,9171994,89877,22.9
816,California,6,9173336,89915,22.9
817,California,6,9175454,89947,22.9
818,California,6,9191757,90090,22.9
819,California,6,9191757,90090,22.9
820,California,6,9191757,90093,22.9
821,California,6,9196288,90123,22.9
822,California,6,9212572,90221,22.9
823,California,6,9214424,90237,22.9
824,California,6,9216851,90277,22.9
825,California,6,9235920,90419,22.9
826,California,6,9235936,90419,22.9
827,California,6,9235936,90422,22.9
828,California,6,9241769,90440,22.9
829,California,6,9261139,90541,22.9
830,California,6,9263998,90571,22.9
831,California,6,9266946,90581,22.9
832,California,6,9289686,90704,22.9
833,California,6,9289709,90704,22.9
834,California,6,9289709,90706,22.9
835,California,6,9296769,90712,22.9
836,California,6,9321533,90822,22.9
837,California,6,9324886,90804,22.9
838,California,6,9328408,90818,22.9
839,California,6,9351229,90959,22.9
840,California,6,9351253,90961,22.9
